app_id,reviewId,userName,score,content,thumbsUpCount,at,replyContent,repliedAt,appVersion,label_sentiment
id.diskominfo.nyarigawe,4269bad4-bd88-4a25-87b2-37f2ee55f0c3,bluelabel,1,tidak dapat kode OTP ke gmail.padahal gmail sudah benar ?? anehh,0,2025-12-25T12:47:39,,,1.0.0,0
id.diskominfo.nyarigawe,24244471-41e7-483a-bef4-11270e5ca419,그라하무사 누,1,"otp gak dikirim, padahal email bener",0,2025-12-25T11:36:09,,,1.0.0,0
id.diskominfo.nyarigawe,660511f4-ae08-4bbc-99c9-8585d4358db6,Aming Gaming,1,burik banget aplikasi ini gubernur gak jelas masa saya tidak dapet kode otp,0,2025-12-25T11:14:13,,,1.0.0,0
id.diskominfo.nyarigawe,af2554a5-67b7-4c74-b491-7509525937e5,Jack,1,"Aplikasi jelek, mau daftar susah, gak kayak aplikasi pencari kerja yang lain, daftarnya mudah",0,2025-12-25T11:06:51,,,,0
id.diskominfo.nyarigawe,5946fe90-e562-4374-b122-9dadff91d156,amel diana,1,"udah mah nyari gawe susah di bikin susah lg dapetin kode otp gamasuk"" ke email- udh d restar hp udh d apain aja , kaya makin di persulit tinggal di indonesia",0,2025-12-25T11:01:59,,,1.0.0,0
id.diskominfo.nyarigawe,2c1a0c16-3038-427c-a375-779bbf0bd03c,hendi roza putra,4,"tolong lah kasih pemahaman ke perusahaan perusahaan yang bikin lowongan, ilangin itu yang namanya batasan umur, gak usah saya jelasin kenapa , udah banyak yang bahas. udah waktunya keluar dari pemikiran pemikiran kolot kayak gitu, cukup umur pensiun dari pemerintah aja batasannya 🙄",0,2025-12-24T23:33:04,,,1.0.0,1
id.diskominfo.nyarigawe,25da4e1b-5890-4319-9d42-43358443d276,M.ilhamz,5,"min saya kencet batal lamar, apakah saya bisa lamar di perusahaan yang saya batalkan itu?",0,2025-12-24T21:47:08,,,1.0.0,1
id.diskominfo.nyarigawe,eedde3d9-97a8-4c99-b463-8658a889d95b,Purple U,1,beberapa bagian ada yang nggak bisa diedit. pas mau di save ada tulisan error. trus kan udah diijinkan buat akses ruang memori tapi pas mau upload dokumen nggak bisa. gimana deh aplikasi nya,0,2025-12-24T19:01:01,,,1.0.0,0
id.diskominfo.nyarigawe,cd5f0029-cf34-46e9-aa3b-e3fe0e3f9135,Khadafie,2,"ijin min, kenapa saya ga ada notif verivikasi di emailnya ya, pas pembuatan akun.... padahal udah bener kok nulis alamat email nya min. jadi nyangkut min, mana belom pembuatan akun. tolong diperbaiki dong min. terimakasih",0,2025-12-24T08:51:00,,,1.0.0,0
id.diskominfo.nyarigawe,dc38df7a-8288-4d80-b275-75bec88f2aa9,Anggi Ramdani,1,kelanjutan lamaran sudah 1 bulan tidak di ketahui,0,2025-12-23T10:22:21,,,1.0.0,0
id.diskominfo.nyarigawe,83cab4ec-ea5d-4d09-9db0-8c6e6b17d937,Noneng Nurhayati,1,"ribet banget asli ngisi data nya harus sudah banyak pengalaman dan penghargaan ,niat mau nolong yang nyari kerja sebenarnya gak sih ,meni lieur ih sumpah da",0,2025-12-22T23:13:50,,,,0
id.diskominfo.nyarigawe,95d7156b-268f-440e-ad17-734c86b2ffc6,Hidayat Bedull,1,Susah menerima verifikasi OTP email nya,0,2025-12-22T21:12:32,,,1.0.0,0
