text,label,score
kode otp gmail padahal gmail benar anehh,0,1
otp kirim padahal email bener,0,1
burik gubernur jelas masa kode otp,0,1
jelek daftar susah kayak cari kerja daftar mudah,0,1
mah nyari gawe susah bikin susah dapetin kode otp gamasuk email udh restar hp udh apain kaya makin sulit tinggal indonesia,0,1
paham usaha usaha bikin lowong ilangin nama batas umur usah jelasin banyak bahas waktu keluar pikir pikir kolot kayak gitu cukup umur pensiun perintah batas,1,4
kencet batal lamar lamar usaha batal,1,5
beberapa bagi edit pas save tulis error trus kan diijinkan buat akses ruang memori pas upload dokumen gimana,0,1
ijin notif verivikasi email pas buat akun padahal bener nulis alamat email nyangkut mana bom buat akun baik,0,2
lanjut lamar bulan tahu,0,1
ribet asli ngisi data banyak alam harga niat nolong nyari kerja benar meni lieur ih sumpah da,0,1
susah terima verifikasi otp email,0,1
apl bagus masuk akal misal ngasih reting buruk biasa buzzer apl samping,1,5
susah masuk data dah bener bilang salah uninstal,0,1
apa isi data baru daftar tolol,0,1
moga manfaat jawa barat istimewa,1,5
otp buat verif email gbisa,0,1
burik minta kode otp lewat email nunggunya menit muncul otp coba beberapa kali parah,0,1
maaf pak nyata lapang banyak pungli buat masuk pabrik,1,5
apk gk jelas,1,5
kalian kali nyari kerja sini buang memori hp doang,0,1
upload paklaeing malah minta izin padahal sdh izin,1,5
daftar tpi login gatal terus jelek,0,1
tau bpk kdm,1,5
huhuuu wartosan pa dedii sugan we aya miliknna,1,5
pas daftar akun kali ganti email kode otp muncul muncul sekarang,0,2
trimakasih pak bu,1,5
susah ganti password lupa nomer masuk salah terus padahal bener,0,1
aplikasi mutu dowload masuk selalu gagal tulisanya priksa flafraum padahal isi data data uda benar laporin ama kdm,0,1
teing nepi teuing hente lamar ka hrd na upload jpg hese pis kunaon euy loker na saeutik jeng loloba na karu lulus sma,0,1
pilih usaha minim banyak cv pt sedikit lamar jadi pns asn satu tanya lamar usaha lamar berapa persentase lamar lalu kembang edukasi prihal informasi system,0,2
gaada buat lulus sma,0,1
susah klau lulus ma doang walaupun alam tumpuk rata atas,1,4
sesuai jeung ngaran na nyari gawe nepi ka ayeuna keneh tetep nyari gawe da can aya gawean ngalamar gawe ti bulan oktober nepi ayeuna desember nyangkut we terus status na tolak hanteu riview ge hanteu ciga lowong formalitas hungkul padahal teu butuh pegawe,0,1
tiap login selalu kendala email pasword salah padahal benar puluh kali ganti pasword baru tetap login kendala sama kirim lakporkan kendala tatap tetap respon buat akun baru ubah nik solusi gimana login gin maaf bintang dlu fiks apknya,0,1
